workflowId,normalization,classifier,criterion,max_depth,n_estimators,fairness_method,random_state,test_Log_Loss,test_False_Positives,test_False_Negatives,test_Equal_Opportunity,test_Equalized_Odds,test_Predictive_Equality,test_Treatment_Equality,test_Conditional_Statistical_Parity,test_Overall_Accuracy_Equality,test_Test_Fairness,test_Well_Calibration,overfitting_Accuracy_diff,overfitting_F1_diff,overfitting_AUC_diff,system/cpu_utilization_percentage,cluster
19,standard,random_forest,log_loss,3,50,balanced_subsample,42,0.1184722883766821,7,18,0.0028061224489795,0.0028061224489796,0.0028061224489795,0.44,0.0380295578349907,0.0007123233908947,0.797777094643529,0.0233262098586458,0.0027614626752556,0.001850184451445,0.0026294919585516,14.5,0
20,standard,random_forest,log_loss,3,50,balanced,42,0.1172034442971091,7,22,0.0004591836734694,0.0004591836734694,0.0004591836734693,0.5172413793103449,0.0472269242258288,0.0001165620094192,0.8007635372694712,0.0231700324831282,0.0052230011367941,0.0035097328744446,0.0025172301176799,16.2,0
21,standard,random_forest,log_loss,3,50,,42,0.1029842040059565,17,3,0.0400510204081632,0.0400510204081632,0.0400510204081632,0.7,0.0059487218089132,0.010166797488226,0.7726182090611936,0.0205859155634001,-0.0006233421750663,-0.0004093044592435,0.0024097331536629,0.0,2
22,standard,random_forest,log_loss,10,50,balanced_subsample,42,0.069711364032494,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.940123783363199,0.0059565961177743,0.0049230769230769,0.0032626427406199,0.0032173469387755,22.6,1
23,standard,random_forest,log_loss,10,50,balanced,42,0.0707702053925358,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.940093548829978,0.0064404479931315,0.0049230769230769,0.0032626427406199,0.0032612244897959,14.3,1
24,standard,random_forest,log_loss,10,50,,42,0.0562773665892427,6,4,0.0117346938775509,0.011734693877551,0.011734693877551,0.2,0.0051602757061591,0.0029788069073783,0.9372994532801812,0.0065138576986501,0.0061538461538461,0.0040783034257748,0.0029714285714285,16.8,1
25,standard,random_forest,log_loss,20,50,balanced_subsample,42,0.0695608767458747,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.940761224489796,0.0059030153846153,0.0049230769230769,0.0032626427406199,0.0032112244897959,16.1,1
26,standard,random_forest,log_loss,20,50,balanced,42,0.0709125156510761,6,4,0.0117346938775509,0.011734693877551,0.011734693877551,0.2,0.0051602757061591,0.0029788069073783,0.939580612244898,0.0065435076923076,0.0061538461538461,0.0040783034257748,0.0032265306122448,0.0,1
27,standard,random_forest,log_loss,20,50,,42,0.0715691689496497,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9382173469387756,0.0064443076923076,0.0055384615384614,0.0036689767631471,0.0032255102040816,0.0,1
28,standard,random_forest,gini,3,100,balanced_subsample,42,0.1160397239307938,7,16,0.0044387755102039,0.004438775510204,0.004438775510204,0.391304347826087,0.0333632254536094,0.0011267660910517,0.8013194031347913,0.0218646575085991,0.0033779840848806,0.0022663670641869,0.0026836396685637,12.3,0
29,standard,random_forest,gini,3,100,balanced,42,0.1156141416798602,7,17,0.0036224489795917,0.0036224489795917,0.0036224489795918,0.4166666666666667,0.0357020977617184,0.0009195447409733,0.8016159781851894,0.0217222973706091,0.0039933687002652,0.0026800647559418,0.0026724914218746,14.0,0
30,standard,random_forest,gini,3,100,,42,0.1002408308273487,16,2,0.0383673469387755,0.0383673469387755,0.0383673469387755,0.7777777777777778,0.007732292882025,0.0097394034536891,0.7771663591547445,0.0195249279237448,-0.0009304660856385,-0.0006103724771271,0.0015499751154556,24.3,2
31,standard,random_forest,gini,10,100,balanced_subsample,42,0.053279721477177,7,3,0.0150510204081631,0.0150510204081632,0.0150510204081632,0.4,0.0018800700249032,0.0038206436420722,0.9342552454447052,0.0065017550379599,0.0058459643804471,0.0038708563346343,0.00275,0.0,1
32,standard,random_forest,gini,10,100,balanced,42,0.0544074566043435,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9339913908136944,0.0066209755324278,0.0052305797650624,0.0034648534726796,0.0031989795918367,14.3,1
33,standard,random_forest,gini,10,100,,42,0.0366471222005914,6,2,0.0133673469387755,0.0133673469387755,0.0133673469387755,0.5,0.0001684871497728,0.0033932496075353,0.9328323947465474,0.0066513877335831,0.0039994316028798,0.0026478637245662,0.0025061224489795,20.7,1
